LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.416, Time: 3.268713 s
         1497901 function calls (1481118 primitive calls) in 5.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
      694    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:69(_wrapreduction)
     10/3    0.000    0.000    0.002    0.001 unicode.py:14(__get__)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
       22    0.000    0.000    0.002    0.000 core.py:5469(parseImpl)
        1    0.000    0.000    0.002    0.002 _cm_multivar.py:1(<module>)
       39    0.001    0.000    0.002    0.000 colors.py:419(to_rgba_array)
     7333    0.002    0.000    0.002    0.000 enum.py:1128(__new__)
      729    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      231    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
        1    0.001    0.001    0.002    0.002 _scimath_impl.py:1(<module>)
